Rank,Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,YDS.1,LNG,TD,FF,Year,Draft_Round
148,Hayden Henry,ARK,LB,14,11,25,1.0,8,1,0,0,0,0,0,2020,
148,Neil Farrell,LSU,DT,9,16,25,1.0,10,1,0,0,0,0,1,2020,
148,Devonte Wyatt,UGA,DT,12,13,25,0.0,0,1,0,0,0,0,0,2020,
148,Kelvin Joseph,UK,DB,14,11,25,0.0,0,1,4,62,41,1,0,2020,
148,Kenneth George Jr.,TENN,DB,18,7,25,0.0,0,6,0,0,0,0,0,2020,
148,Rashad Torrence IIFLA,,S,10,15,25,0.0,0,0,0,0,0,0,0,2020,
148,Nehemiah Pritchett,AUB,CB,17,8,25,0.0,0,10,1,48,48,0,0,2020,
156,Elijah HamiltonVAN,,DB,18,6,24,0.0,0,3,0,0,0,0,0,2020,
156,Andre Anthony,LSU,DE,13,11,24,5.5,26,1,0,0,0,0,0,2020,
156,Kyree CampbellFLA,,DL,3,21,24,1.5,7,0,0,0,0,0,0,2020,
156,Ennis Rakestraw Jr.,MIZ,CB,18,6,24,1.0,2,6,0,0,0,0,0,2020,
160,Tyree Johnson,TA&M,DE,12,11,23,4.0,23,1,0,0,0,0,1,2020,
160,K.J. Britt,AUB,LB,9,14,23,0.0,0,0,0,0,0,0,0,2020,
160,Simeon Blair,ARK,DB,10,13,23,0.0,0,2,0,0,0,0,0,2020,
160,Isaiah Nichols,ARK,DL,6,17,23,0.5,1,1,0,0,0,0,0,2020,
160,Trajan Jeffcoat,MIZ,DL,17,6,23,6.0,32,0,0,0,0,0,1,2020,
160,R.J. Roderick,SC,DB,16,7,23,0.0,0,1,0,0,0,0,0,2020,
160,Otis Reese IV,MISS,S,11,12,23,0.0,0,1,1,29,29,0,0,2020,
167,Kivon Bennett,TENN,LB,13,9,22,4.5,25,0,0,0,0,0,0,2020,
167,Tyrone Truesdell,AUB,DT,11,11,22,0.0,0,0,0,0,0,0,0,2020,
167,Marquan McCall,UK,DT,9,13,22,0.5,2,0,0,0,0,0,0,2020,
167,Kurott Garland,TENN,DL,11,11,22,0.0,0,0,0,0,0,0,0,2020,
167,Bobby Brown III,TA&M,DL,10,12,22,5.5,34,0,0,0,0,0,0,2020,
167,Nolan Smith Jr.,UGA,LB,11,11,22,2.5,24,0,0,0,0,0,0,2020,
167,Byron Young,ALA,DT,8,14,22,1.0,7,0,0,0,0,0,0,2020,
167,DJ Dale,ALA,DT,8,14,22,0.0,0,2,0,0,0,0,0,2020,
167,Zach Williams,ARK,DL,9,13,22,1.0,8,0,0,0,0,0,0,2020,
167,Jordan Davis,MSST,DE,7,15,22,0.0,0,1,0,0,0,0,0,2020,
177,Tre Williams,MIZ,DE,13,8,21,2.0,19,0,0,0,0,0,1,2020,
177,Andre MintzeVAN,,LB,11,10,21,4.0,25,1,0,0,0,0,2,2020,
177,Mark Webb Jr.,UGA,DB,10,11,21,0.0,0,2,1,13,13,0,0,2020,
177,Ladarius Tennison,AUB,DB,13,8,21,0.0,0,0,0,0,0,0,0,2020,
177,Derick Hall,AUB,DE,15,6,21,3.5,28,0,0,0,0,0,1,2020,
177,Tyler Baron,TENN,EDGE,13,8,21,1.0,6,0,0,0,0,0,0,2020,
183,Jaylin Dickerson,SC,DB,10,10,20,0.5,3,0,1,0,0,0,0,2020,
183,Malik Herring,UGA,DL,12,8,20,2.0,18,2,0,0,0,0,0,2020,
183,Eric Stokes,UGA,DB,14,6,20,0.0,0,4,4,94,37,2,0,2020,
183,Tylan Knight,MISS,S,15,5,20,0.0,0,2,0,0,0,0,3,2020,
183,Eli Ricks,LSU,CB,11,9,20,0.0,0,5,4,113,68,2,0,2020,
183,Jared Casey,UK,LB,13,7,20,0.0,0,0,0,0,0,0,0,2020,
183,Fred Peters,MSST,S,10,10,20,0.0,0,1,0,0,0,0,1,2020,
190,Markell Utsey,MIZ,DL,13,6,19,0.0,0,1,0,0,0,0,0,2020,
190,Tariqious Tisdale,MISS,DE,7,12,19,0.0,0,0,0,0,0,0,0,2020,
190,Jordan Burch,SC,EDGE,9,10,19,0.0,0,0,0,0,0,0,0,2020,
190,Gervon Dexter Sr.FLA,,DT,5,14,19,0.0,0,0,1,4,4,0,0,2020,
190,Justin Eboigbe,ALA,DT,10,9,19,0.0,0,0,1,4,4,0,0,2020,
190,Daevion DavisVAN,,DL,5,14,19,0.5,2,0,0,0,0,0,1,2020,
190,Quandre Mosely,UK,DB,12,7,19,0.0,0,2,0,0,0,0,0,2020,
197,Aaron Odom,MSST,DL,8,10,18,2.0,4,1,0,0,0,0,0,2020,
197,Jaylen Moody,ALA,LB,11,7,18,0.0,0,0,0,0,0,0,1,2020,
197,Isaiah McGuire,MIZ,DE,8,10,18,3.0,16,0,0,0,0,0,1,2020,
197,Jaquelin Roy,LSU,DT,6,12,18,2.0,18,0,0,0,0,0,0,2020,
197,Julius Coates,ARK,DL,11,7,18,2.0,23,0,0,0,0,0,1,2020,
197,Daylen Gill,MISS,LB,11,7,18,0.0,0,0,0,0,0,0,0,2020,
197,Tavius Robinson,MISS,LB,9,9,18,1.0,7,0,0,0,0,0,0,2020,
1,Damone Clark,LSU,LB,78,58,136,5.5,40,3,1,0,0,0,2,2021,
2,Jeremy Banks,TENN,LB,59,69,128,5.5,35,4,1,32,32,0,0,2021,
3,Bumper Pool,ARK,LB,45,80,125,0.0,0,2,0,0,0,0,0,2021,
4,Henry To'oTo'o,ALA,LB,52,59,111,4.0,29,2,0,0,0,0,1,2021,
5,Chance Campbell,MISS,LB,47,62,109,6.0,36,2,0,0,0,0,2,2021,
6,Grant Morgan,ARK,LB,41,60,101,0.5,3,3,1,0,0,0,0,2021,
6,Will Anderson Jr.,ALA,LB,57,44,101,17.5,108,3,0,0,0,0,0,2021,
8,Hayden Henry,ARK,LB,50,50,100,4.0,40,1,0,0,0,0,0,2021,
9,Jaylan Foster,SC,DB,66,30,96,2.0,12,3,5,39,35,0,2,2021,
10,Zakoby McClain,AUB,LB,55,40,95,2.0,10,6,0,0,0,0,0,2021,
11,Chandler Wooten,AUB,LB,55,39,94,0.0,0,3,1,0,0,0,0,2021,
12,Mark Robinson,MISS,LB,42,49,91,3.0,19,0,0,0,0,0,0,2021,
12,Otis Reese IV,MISS,S,33,58,91,1.5,6,2,0,0,0,0,1,2021,
14,AJ Finley,MISS,S,36,54,90,0.0,0,4,3,71,52,1,1,2021,
15,Aaron Hansford,TA&M,LB,45,44,89,2.0,15,4,0,0,0,0,0,2021,
15,Blaze Alldredge,MIZ,LB,53,36,89,4.5,38,0,0,0,0,0,1,2021,
15,Mohamoud DiabateFLA,,LB,34,55,89,0.0,0,0,0,0,0,0,0,2021,
18,Trey Dean IIIFLA,,S,40,48,88,1.5,10,8,1,12,12,0,0,2021,
19,Rashad Torrence IIFLA,,S,53,34,87,0.0,0,2,3,1,1,0,0,2021,
19,DeMarcco Hellams,ALA,S,54,33,87,0.0,0,3,3,9,6,0,0,2021,
21,Jett Johnson,MSST,LB,37,49,86,0.0,0,3,1,48,48,0,1,2021,
22,Ethan BarrVAN,,LB,44,41,85,0.0,0,4,3,17,17,0,0,2021,
22,Jordan Battle,ALA,S,50,35,85,0.0,0,3,3,111,69,2,0,2021,
24,Aaron Beasley,TENN,LB,34,50,84,1.5,7,0,0,0,0,0,0,2021,
25,Micah Baskerville,LSU,LB,40,43,83,2.0,13,3,1,54,54,0,0,2021,
25,Nathaniel Watson,MSST,LB,33,50,83,5.0,36,1,0,0,0,0,0,2021,
27,Yusuf Corker,UK,S,46,36,82,1.0,7,8,0,0,0,0,0,2021,
27,Trevon Flowers,TENN,DB,48,34,82,1.0,8,3,2,0,0,0,0,2021,
27,Jacquez Jones,UK,LB,37,45,82,0.5,3,4,1,0,0,0,1,2021,
30,DeAndre Square,UK,LB,40,41,81,3.0,14,1,1,0,0,0,1,2021,
31,Antonio Johnson,TA&M,S,53,26,79,1.0,8,5,1,6,6,0,0,2021,
31,Christian Harris,ALA,LB,45,34,79,5.5,49,3,0,0,0,0,2,2021,
31,Fred Peters,MSST,S,34,45,79,0.0,0,1,2,12,12,0,0,2021,
34,Theo Jackson,TENN,S,37,41,78,1.5,5,11,1,55,55,1,0,2021,
35,Martez Manuel,MIZ,DB,60,17,77,4.5,50,3,1,0,0,0,1,2021,
36,Brad Johnson,SC,LB,41,33,74,2.5,20,0,1,6,6,0,0,2021,
37,Lewis Cine,UGA,S,43,30,73,0.0,0,9,1,8,8,0,0,2021,
38,Joe Foucha,ARK,S,32,40,72,1.5,14,5,1,0,0,0,1,2021,
38,Nakobe Dean,UGA,LB,36,36,72,6.0,51,6,2,50,50,1,2,2021,
40,Anfernee OrjiVAN,,LB,43,28,71,1.0,12,1,0,0,0,0,1,2021,
41,Jay Ward,LSU,S,40,29,69,0.0,0,4,2,33,26,0,1,2021,
42,Channing Tindall,UGA,LB,35,32,67,5.5,49,0,0,0,0,0,1,2021,
42,Jaylon Carlies,MIZ,S,54,13,67,0.0,0,0,4,51,27,0,1,2021,
44,Keidron Smith,MISS,CB,31,34,65,0.0,0,3,2,1,1,0,2,2021,
44,Demani Richardson,TA&M,S,44,21,65,2.0,22,3,1,3,3,0,1,2021,
46,R.J. Roderick,SC,DB,40,24,64,0.0,0,0,0,0,0,0,2,2021,
47,Damani Staley,SC,LB,39,24,63,2.0,14,1,2,62,63,1,0,2021,
47,Smoke Monday,AUB,S,44,19,63,2.0,10,5,1,36,36,1,0,2021,
47,Quay Walker,UGA,LB,39,24,63,1.5,22,2,0,0,0,0,0,2021,
50,Ty'Ron HopperFLA,,LB,32,30,62,2.5,15,2,0,0,0,0,1,2021,
51,Carrington Valentine,UK,CB,47,14,61,1.0,7,5,0,0,0,0,0,2021,
51,Colby Wooden,AUB,DT,34,27,61,5.0,24,2,0,0,0,0,0,2021,
53,Alontae Taylor,TENN,S,41,19,60,0.0,0,6,2,85,56,1,1,2021,
54,Emmanuel Forbes Jr.,MSST,CB,45,14,59,1.0,15,5,3,33,22,0,1,2021,
55,Leon O'Neal Jr.,TA&M,S,38,20,58,1.0,8,5,2,85,85,1,0,2021,
55,DeMarvin Leal,TA&M,DE,27,31,58,8.5,44,2,0,0,0,0,1,2021,
55,Edgerrin Cooper,TA&M,LB,37,21,58,0.5,3,1,1,4,4,0,0,2021,
58,Jake Springer,MISS,DB,30,27,57,1.0,3,4,0,0,0,0,1,2021,
58,Andre WhiteGT,,LB,27,30,57,1.0,3,0,0,0,0,0,0,2021,
58,Sam Williams,MISS,LB,31,26,57,12.5,63,1,0,0,0,0,4,2021,
61,Chad Bailey,MIZ,LB,39,16,55,1.0,1,0,0,0,0,0,0,2021,
61,Nolan Smith Jr.,UGA,LB,31,24,55,3.5,21,1,1,-2,0,0,3,2021,
61,Isaiah McGuire,MIZ,DE,38,17,55,6.0,36,1,0,0,0,0,1,2021,
61,Brian Branch,ALA,S,34,21,55,1.0,5,9,0,0,0,0,0,2021,
65,Cameron Lewis,LSU,S,34,20,54,1.5,16,1,0,0,0,0,1,2021,
65,Montaric Brown,ARK,CB,24,30,54,0.0,0,6,5,0,5,0,1,2021,
65,BJ Ojulari,LSU,LB,31,23,54,7.0,51,1,0,0,0,0,0,2021,
68,Phidarian Mathis,ALA,DT,20,33,53,9.0,52,2,0,0,0,0,1,2021,
68,Aaron Brule,MSST,LB,23,30,53,3.0,24,0,0,0,0,0,0,2021,
68,Cameron Young,MSST,DT,18,35,53,0.0,0,2,1,5,5,0,0,2021,
71,Josh Paschal,UK,DE,24,28,52,5.0,35,0,0,0,0,0,1,2021,
71,Maxwell WorshipVAN,,S,40,12,52,0.0,0,1,2,12,11,0,0,2021,
71,Derick Hall,AUB,DE,33,19,52,9.0,49,0,0,0,0,0,2,2021,
71,Jaylen MahoneyVAN,,DB,40,12,52,2.0,11,3,2,0,0,0,1,2021,
75,Gervon Dexter Sr.FLA,,DT,20,30,50,2.5,10,1,0,0,0,0,0,2021,
75,Myles Slusher,ARK,DB,33,17,50,0.5,4,4,2,11,11,0,0,2021,
75,Gabe Jeudy-LallyVAN,,DB,35,15,50,0.0,0,1,1,0,0,0,0,2021,
78,Jeremiah MoonFLA,,LB,20,29,49,2.0,7,1,0,0,0,0,1,2021,
78,Roger McCreary,AUB,CB,41,8,49,1.0,7,14,2,35,35,1,0,2021,
78,Jaylen McCollough,TENN,DB,35,14,49,1.0,10,5,3,45,29,0,1,2021,
78,Martin Emerson Jr.,MSST,CB,31,18,49,0.0,0,3,0,0,0,0,0,2021,
78,Devin Nicholson,MIZ,LB,31,18,49,2.0,7,0,0,0,0,0,1,2021,
83,Zion Puckett,AUB,S,35,13,48,0.0,0,0,0,0,0,0,0,2021,
83,Deane Leonard,MISS,DB,28,20,48,0.0,0,6,0,0,0,0,0,2021,
85,Matthew Butler,TENN,DT,19,28,47,5.0,25,0,0,0,0,0,1,2021,
85,Tysheem Johnson,MISS,DB,18,29,47,1.0,9,1,1,0,0,0,0,2021,
87,Bydarrius Knighten,AUB,S,30,16,46,0.0,0,2,2,0,0,0,0,2021,
87,Tyrell Ajian,UK,DB,27,19,46,0.0,0,4,1,95,95,1,0,2021,
87,Collin Duncan,MSST,S,21,25,46,0.0,0,4,0,0,0,0,0,2021,
87,Tyrus Wheat,MSST,LB,19,27,46,7.0,50,2,1,0,0,0,1,2021,
93,Davonte Robinson,UK,DB,26,19,45,1.0,3,1,0,0,0,0,1,2021,
93,Neil Farrell,LSU,DT,20,25,45,2.0,19,2,0,0,0,0,0,2021,
93,De'Antre Prince,MISS,CB,32,13,45,0.0,0,3,2,15,15,0,1,2021,
96,Amari BurneyFLA,,LB,25,19,44,0.0,0,3,0,0,0,0,0,2021,
96,Kingsley Enagbare,SC,LB,29,15,44,4.5,30,2,0,0,0,0,1,2021,
98,Jayden Peevy,TA&M,DT,17,26,43,2.0,15,3,1,0,0,0,1,2021,
98,Michael OwusuVAN,,DE,22,21,43,0.5,2,2,0,0,0,0,1,2021,
100,Jalen Green,MSST,S,23,19,42,0.0,0,4,2,0,0,0,0,2021,
100,Dashaun JerkinsVAN,,S,24,18,42,0.0,0,2,3,-1,-1,0,0,2021,
102,Derion Kendrick,UGA,CB,24,17,41,0.0,0,3,4,14,13,0,0,2021,
102,Brenton Cox Jr.FLA,,LB,26,15,41,8.5,44,4,0,0,0,0,1,2021,
102,Jabari Ellis,SC,DL,25,16,41,1.5,14,1,0,0,0,0,0,2021,
102,Warren Burrell,TENN,DB,32,9,41,0.0,0,7,0,0,0,0,0,2021,
102,Cam Smith,SC,CB,31,10,41,0.0,0,11,3,10,10,0,1,2021,
102,Tyreek Chappell,TA&M,CB,31,10,41,0.0,0,9,1,0,0,0,0,2021,
108,Cor'Dale Flott,LSU,CB,28,12,40,0.0,0,3,1,0,0,0,1,2021,
108,Byron Young,ALA,DT,19,21,40,2.0,11,0,0,0,0,0,0,2021,
110,John Ridgeway III,ARK,DT,11,28,39,2.0,10,0,0,0,0,0,0,2021,
110,Devonte Wyatt,UGA,DT,18,21,39,2.5,15,1,0,0,0,0,2,2021,
110,Greg Brooks Jr.,ARK,S,18,21,39,0.0,0,4,1,0,0,0,0,2021,
110,Lakia Henry,MISS,LB,14,25,39,0.0,0,0,0,0,0,0,0,2021,
114,Solon Page III,TENN,LB,13,25,38,0.0,0,2,1,31,31,1,0,2021,
114,Latavious Brini,UGA,S,23,15,38,0.0,0,8,0,0,0,0,0,2021,
114,Simeon Blair,ARK,DB,23,15,38,1.0,4,4,0,0,0,0,0,2021,
114,Josh Jobe,ALA,CB,28,10,38,0.0,0,4,2,6,6,0,0,2021,
114,Zacch Pickens,SC,DT,23,15,38,4.0,25,1,0,0,0,0,0,2021,
119,Tylan Knight,MISS,S,20,17,37,0.0,2,1,0,0,0,0,0,2021,
119,Travon Walker,UGA,DE,19,18,37,6.0,46,2,0,0,0,0,0,2021,
119,Kris Abrams-Draine,MIZ,CB,30,7,37,0.0,0,7,3,0,0,0,0,2021,
119,Dan Jackson,UGA,S,24,13,37,0.0,0,0,0,0,0,0,0,2021,
119,Jalen Carter,UGA,DT,17,20,37,3.0,26,1,0,0,0,0,0,2021,
124,Randy Charlton,MSST,DE,14,21,35,4.0,25,0,0,0,0,0,1,2021,
124,Nate CliftonVAN,,DT,22,13,35,0.0,0,1,0,0,0,0,0,2021,
124,Jaylon Jones,TA&M,CB,23,12,35,0.0,0,6,2,17,17,0,0,2021,
127,Mike Jones Jr.,LSU,LB,14,20,34,1.0,12,1,0,0,0,0,0,2021,
127,Trajan Jeffcoat,MIZ,DL,23,11,34,3.5,33,1,0,0,0,0,1,2021,
127,Brendon HarrisVAN,,S,23,11,34,0.0,0,2,0,0,0,0,0,2021,
127,Chris Smith II,UGA,S,23,11,34,0.0,0,4,3,94,74,1,0,2021,
127,Roman Harrison,TENN,DL,19,15,34,1.0,11,0,0,0,0,0,0,2021,
127,J.J. Weaver,UK,EDGE,20,14,34,6.5,43,1,2,21,20,0,1,2021,
127,Kelee Ringo,UGA,CB,26,8,34,1.0,9,8,2,79,79,1,0,2021,
134,T.D. Moultry,AUB,LB,17,16,33,4.0,25,0,0,0,0,0,0,2021,
134,DK Kaufman,AUB,S,26,7,33,1.0,7,2,1,38,38,0,3,2021,
134,Marcellas Dial Jr.,SC,S,25,8,33,0.0,0,6,0,0,0,0,1,2021,
137,Jordan Davis,UGA,TE,17,15,32,2.0,10,1,0,0,0,0,0,2021,
137,Micheal Clemons,TA&M,DE,23,9,32,7.0,43,2,0,0,0,0,1,2021,
137,Jalyn Armour-Davis,ALA,CB,22,10,32,0.0,0,4,3,51,47,0,0,2021,
137,Adam Anderson,UGA,LB,18,14,32,5.0,18,1,0,0,0,0,0,2021,
137,Mohamed Kaba,SC,LB,17,15,32,0.0,0,0,0,0,0,0,0,2021,
137,Cedric Johnson,MISS,EDGE,18,14,32,6.5,28,1,0,0,0,0,0,2021,
137,Trevin Wallace,UK,LB,16,16,32,2.0,7,1,0,0,0,0,1,2021,
144,Zachary CarterFLA,,DT,15,16,31,8.0,44,2,0,0,0,0,1,2021,
144,Tyree Johnson,TA&M,DE,20,11,31,8.5,53,0,0,0,0,0,1,2021,
144,Dwight McGlothern,LSU,CB,25,6,31,0.0,0,5,1,37,37,1,1,2021,
147,Allie Green IV,MIZ,DB,24,6,30,0.0,0,4,0,0,0,0,0,2021,
147,Jordan Wright,UK,LB,15,15,30,1.0,8,4,0,0,0,0,0,2021,
147,Jaquelin Roy,LSU,DT,15,15,30,1.5,8,0,0,0,0,0,1,2021,
147,Dallas Turner,ALA,EDGE,14,16,30,8.5,52,0,0,0,0,0,0,2021,
147,Tyler Baron,TENN,EDGE,8,22,30,4.0,23,2,0,0,0,0,0,2021,
152,Ja'Quain Blakely,TENN,DL,9,20,29,1.5,6,3,0,0,0,0,0,2021,
152,Daniel Wright,ALA,S,16,13,29,1.0,4,3,0,0,0,0,0,2021,
152,Kaiir ElamFLA,,CB,17,12,29,0.0,0,5,1,0,0,0,0,2021,
155,Tre Williams,ARK,DE,11,17,28,6.0,26,0,0,0,0,0,0,2021,
155,Shawn Robinson,MIZ,LB,17,11,28,1.0,7,1,1,0,0,0,0,2021,
155,Akayleb Evans,MIZ,CB,25,3,28,0.0,0,6,1,0,0,0,2,2021,
155,Ashanti Cistrunk,MISS,LB,14,14,28,0.5,2,2,1,4,4,0,0,2021,
155,Soni Fonua,LSU,DE,16,12,28,0.5,2,1,0,0,0,0,0,2021,
155,Tavius Robinson,MISS,LB,10,18,28,3.5,33,0,0,0,0,0,0,2021,
161,Darren Evans,LSU,CB,20,7,27,0.0,0,4,0,0,0,0,0,2021,
161,Aaron Sterling,SC,DE,15,12,27,2.5,19,1,0,0,0,0,1,2021,
161,Nathan Pickering,MSST,DT,13,14,27,4.0,31,0,0,0,0,0,0,2021,
161,Eric Gregory,ARK,DT,7,20,27,1.0,9,1,0,0,0,0,0,2021,
161,Nehemiah Pritchett,AUB,CB,20,7,27,0.0,0,5,1,1,1,0,0,2021,
161,Jaylin Simpson,AUB,S,22,5,27,0.0,0,3,1,0,0,0,0,2021,
161,Marcus Harris,AUB,DT,16,11,27,2.0,6,0,0,0,0,0,0,2021,
161,Mekhi Wingo,MIZ,DT,14,13,27,1.0,7,0,1,40,40,1,0,2021,
169,Darius Rush,SC,CB,24,2,26,1.0,9,8,1,0,0,0,0,2021,
169,Shawn Preston Jr.,MSST,S,9,17,26,0.0,0,1,1,1,1,0,0,2021,
169,Jordan Burch,SC,EDGE,14,12,26,1.0,4,1,1,61,61,1,0,2021,
169,Kool-Aid McKinstry,ALA,CB,9,17,26,1.0,13,1,1,0,0,0,0,2021,
169,Quandre Mosely,UK,DB,20,6,26,0.0,0,5,2,38,38,1,0,2021,
174,Jaylon Jones,MISS,DB,17,8,25,0.0,0,3,1,0,0,0,0,2021,
174,Allan GeorgeVAN,,CB,19,6,25,0.0,0,6,0,0,0,0,0,2021,
174,Momo Sanogo,MISS,LB,12,13,25,1.5,3,0,0,0,0,0,0,2021,
174,Major Burns,LSU,S,16,9,25,0.0,0,1,1,18,18,0,0,2021,
174,Tim Smith,ALA,DT,11,14,25,0.5,1,1,0,0,0,0,0,2021,
179,KD Hill,MISS,DT,6,18,24,0.0,0,0,0,0,0,0,0,2021,
179,De'Rickey WrightVAN,,S,13,11,24,0.0,0,2,0,0,0,0,1,2021,
179,Taurean Carter II,ARK,DT,6,18,24,1.0,2,1,0,0,0,0,0,2021,
179,Daevion DavisVAN,,DL,11,13,24,1.5,11,3,0,0,0,0,0,2021,
179,Darius Robinson,MIZ,EDGE,11,13,24,0.0,0,1,0,0,0,0,0,2021,
179,Jayden Johnson,ARK,DB,9,15,24,0.0,0,0,0,0,0,0,0,2021,
179,Drew Sanders,ALA,LB,12,12,24,1.0,7,2,0,0,0,0,0,2021,
186,Antonio ValentinoFLA/PSU,,DL,15,8,23,1.0,6,0,0,0,0,0,0,2021,
186,Kobie Whiteside,MIZ,DT,14,9,23,1.0,4,0,0,0,0,0,0,2021,
186,M.J. Webb,SC,DL,13,10,23,0.0,0,0,0,0,0,0,0,2021,
186,Jordan Strachan,SC,DE,16,7,23,3.0,24,2,1,44,44,0,0,2021,
186,Robert Beal Jr.,UGA,DE,12,11,23,6.5,57,2,0,0,0,0,0,2021,
186,Eku Leota,AUB,DE,15,8,23,7.0,40,0,0,0,0,0,1,2021,
186,Elijah McAllisterVAN,,LB,11,12,23,0.0,0,1,1,-3,-3,0,0,2021,
186,Jaden Crumedy,MSST,DT,8,15,23,1.0,8,1,0,0,0,0,1,2021,
186,Tre'Vez JohnsonFLA,,S,15,8,23,1.0,6,2,1,26,26,0,0,2021,
186,Jason Marshall Jr.FLA,,CB,15,8,23,0.0,0,3,1,-3,-3,0,0,2021,
186,Zach Williams,ARK,DL,7,16,23,2.5,13,0,0,0,0,0,1,2021,
186,Owen Pappoe,AUB,LB,14,9,23,0.0,0,0,0,0,0,0,0,2021,
186,Christian JamesVAN,,DL,6,17,23,0.0,0,1,0,0,0,0,0,2021,
186,Trey Washington,MISS,S,11,12,23,0.0,0,1,0,0,0,0,0,2021,
200,Akial Byers,MIZ,DT,15,7,22,1.5,21,0,0,0,0,0,0,2021,
200,Miles Battle,MISS,CB,9,13,22,0.0,0,8,1,9,9,0,0,2021,
200,Avery HelmFLA,,CB,17,5,22,0.0,0,3,0,0,0,0,0,2021,
200,Ladarius Tennison,AUB,DB,15,7,22,0.0,0,0,0,0,0,0,0,2021,
200,Brandon Turnage,TENN,CB,12,10,22,0.0,0,0,0,0,0,0,0,2021,
200,Hudson Clark,ARK,DB,9,13,22,0.0,0,1,0,0,0,0,0,2021,
200,Khris BogleFLA,,EDGE,9,13,22,1.5,6,0,0,0,0,0,0,2021,
200,Jadarrius PerkinsFLA,,CB,14,8,22,0.0,0,1,0,0,0,0,0,2021,
1,Jett Johnson,MSST,LB,48,67,115,2.0,16,2,0,0,0,0,0,2022,
2,Nathaniel Watson,MSST,LB,51,62,113,6.0,47,0,1,51,51,0,1,2022,
3,DeMarcco Hellams,ALA,S,67,41,108,1.0,8,7,1,0,0,0,1,2022,
4,Anfernee OrjiVAN,,LB,52,54,106,1.0,8,0,1,0,0,0,1,2022,
5,Drew Sanders,ARK,LB,40,63,103,9.5,45,5,1,13,13,0,3,2022,
6,Henry To'oTo'o,ALA,LB,45,49,94,2.5,15,0,0,0,0,0,0,2022,
7,Troy Brown,MISS,LB,44,49,93,0.5,5,5,0,0,0,0,1,2022,
8,Bumper Pool,ARK,LB,37,55,92,2.0,16,3,0,0,0,0,0,2022,
8,Owen Pappoe,AUB,LB,51,41,92,2.5,18,3,1,0,0,0,2,2022,
10,Brian Branch,ALA,S,58,32,90,3.0,20,7,2,2,2,0,0,2022,
11,Micah Baskerville,LSU,LB,44,45,89,1.0,6,8,1,29,29,1,0,2022,
12,Decamerion Richardson,MSST,CB,50,35,85,0.0,0,3,0,0,0,0,0,2022,
12,Nick Emmanwori,SC,S,62,23,85,0.0,0,1,0,0,0,0,0,2022,
14,Otis Reese IV,MISS,S,37,47,84,3.0,23,4,1,1,1,0,0,2022,
14,Rashad Torrence IIFLA,,S,50,34,84,0.0,0,1,0,0,0,0,1,2022,
16,Trey Dean IIIFLA,,S,47,34,81,0.5,0,4,0,0,0,0,0,2022,
16,Jaylon Carlies,MIZ,S,60,21,81,1.0,3,4,3,14,14,0,1,2022,
18,Amari BurneyFLA,,LB,41,38,79,4.0,24,4,2,0,0,0,2,2022,
19,Tysheem Johnson,MISS,DB,38,40,78,0.0,0,2,0,0,0,0,0,2022,
20,Greg Penn III,LSU,LB,44,33,77,0.0,0,2,0,0,0,0,0,2022,
21,Sherrod Greene,SC,LB,37,39,76,2.5,22,1,1,26,26,0,0,2022,
21,AJ Finley,MISS,S,46,30,76,0.0,0,2,2,19,19,0,1,2022,
21,Smael Mondon Jr.,UGA,LB,49,27,76,1.0,10,1,1,3,3,0,0,2022,
21,Aaron Beasley,TENN,LB,39,37,76,3.0,25,3,0,0,0,0,0,2022,
25,Ventrell MillerFLA,,LB,34,41,75,0.0,0,2,0,0,0,0,2,2022,
26,Ty'Ron Hopper,MIZ,LB,60,14,74,3.0,25,2,1,15,15,0,1,2022,
27,Simeon Blair,ARK,DB,42,31,73,0.0,0,5,0,0,0,0,0,2022,
27,Demani Richardson,TA&M,S,48,25,73,0.0,0,5,1,0,0,0,1,2022,
29,Ashanti Cistrunk,MISS,LB,28,44,72,1.0,11,1,0,0,0,0,1,2022,
29,Harold Perkins Jr.,LSU,LB,39,33,72,7.5,59,4,1,-3,-3,0,3,2022,
31,Antonio Johnson,TA&M,S,35,36,71,1.0,1,1,0,0,0,0,3,2022,
31,Jordan Battle,ALA,S,34,37,71,0.0,0,2,1,0,0,0,0,2022,
33,Jamon Johnson,UGA,LB,45,25,70,4.0,24,3,0,0,0,0,1,2022,
34,Malaki Starks,UGA,S,45,24,69,0.0,0,7,2,42,42,0,0,2022,
35,Hudson Clark,ARK,DB,33,34,67,0.0,0,11,1,0,0,0,2,2022,
36,Isheem Young,MISS,DB,30,36,66,0.5,6,2,1,0,0,0,0,2022,
36,Chris Russell,TA&M,LB,33,33,66,2.5,15,1,0,0,0,0,1,2022,
38,D'Eryk Jackson,UK,LB,25,40,65,0.0,0,2,0,0,0,0,0,2022,
39,Cam Riley,AUB,LB,38,26,64,0.0,0,1,0,0,0,0,0,2022,
40,Greg Brooks Jr.,LSU,S,36,27,63,1.0,3,3,2,30,30,0,1,2022,
41,Jordan Wright,UK,LB,32,30,62,2.0,14,3,1,18,18,0,0,2022,
41,Chris Paul Jr.,ARK,LB,38,24,62,4.0,31,0,0,0,0,0,0,2022,
41,Jordan Lovett,UK,DB,36,26,62,0.0,0,3,2,34,34,0,0,2022,
